afar;aa;afar
ghotuo;aaa;ghotuo
alumu-tesu;aab;alumutesu
ari;aac;ari
amal;aad;amal
arbërisht;aae;arberisht
aranadan;aaf;aranadan
ambrak;aag;ambrak
abu’;aah;abu
arifama-miniafia;aai;arifamaminiafia
ankave;aak;ankave
afade;aal;afade
aramanik;aam;aramanik
anambé;aan;anambe
arabe saharien;aao;arabe saharien
arara;aap;arara
abénaquis de l’Est;aaq;abenaquis de lest
aasá;aas;aasa
albanais arvanite;aat;albanais arvanite
abau;aau;abau
langues austro-asiatiques;aav;austro asiatiques langues
arawé;aaw;arawe
atas de Mandobo;aax;atas de Mandobo
amarasi;aaz;amarasi
abkhaze;ab;abkhaze
abé;aba;abe
abai sembuak;abai sembuak;abai sembuak
abai tubu;abai tubu;abai tubu
bankon;abb;bankon
ambala;abc;ambala
manide;abd;manide
abénaquis de l’Ouest;abe;abenaquis de louest
abaï soungaï;abf;abai soungai
abaga;abg;abaga
arabe tadjik;abh;arabe tadjik
abidji;abi;abidji
aka-bea;abj;akabea
abung;abl;abung
abanyom;abm;abanyom
abua;abn;abua
abon;abo;abon
abellen;abp;abellen
abaza;abq;abaza
abron;abr;abron
malais ambonais;abs;malais ambonais
ambulas;abt;ambulas
abouré;abu;aboure
arabe baharna;abv;arabe baharna
abaknon;abx;abaknon
aneme wake;aby;aneme wake
abui;abz;abui
achagua;aca;achagua
achinais;ace;achinais
créole sainte-lucien;acf;creole saintelucien
acoli;ach;acoli
aka-cari;aci;akacari
aka-kora;ack;akakora
akar-bale;acl;akarbale
arabe irakien;acm;arabe irakien
achang;acn;achang
acipa de l’Est;acp;acipa de lest
arabe Ta’izzi-Adeni;acq;arabe taizziadeni
achi;acr;achi
acroá;acs;acroa
achterhooks;act;achterhooks
achuar;acu;achuar
achumawi;acv;achumawi
arabe chypriote;acy;arabe chypriote
acheron;acz;acheron
adangmé;ada;adangme
dzodinka;add;dzodinka
adele;ade;adele
adi;adi;adi
adioukrou;adj;adioukrou
adang;adn;adang
adap;adp;adap
adangbé;adq;adangbe
langue des signes adamorobe;ads;signes adamorobe
adnyamathanha;adt;adnyamathanha
aduge;adu;aduge
amundava;adw;amundava
amdo;adx;amdo
adyghé;ady;adyghe
adzera;adz;adzera
avestique;ae;avestique
arabe tunisien;aeb;arabe tunisien
arabe saïdi;aec;arabe saidi
haéké;aek;haeke
ambele;ael;ambele
arem;aem;arem
arrernte de l’Est;aer;arrernte de lest
alsea;aes;alsea
ambakich;aew;ambakich
amélé;aey;amele
aeka;aez;aeka
afrikaans;af;afrikaans
langues afro-asiatiques;afa;afro asiatiques langues
arabe du Golfe;afb;arabe du Golfe
afrihili;afh;afrihili
akrukay;afi;akrukay
défaka;afn;defaka
éloyi;afo;eloyi
tapei;afp;tapei
afitti;aft;afitti
obokuitai;afz;obokuitai
aguano;aga;aguano
agatu;agc;agatu
angal;age;angal
angor;agg;angor
argobba;agj;argobba
fembe;agl;fembe
angaataha;agm;angaataha
agutaynen;agn;agutaynen
tainae;ago;tainae
aghem;agq;aghem
aguaruna;agr;aguaruna
ésimbi;ags;esimbi
agta du Cagayan central;agt;agta du Cagayan central
agta de Dinapigue;agta de Dinapigue;agta de Dinapigue
agta de Nagtipunan;agta de Nagtipunan;agta de Nagtipunan
aguacatèque;agu;aguacateque
aghoul;agx;aghoul
alta du Sud;agy;alta du Sud
ahanta;aha;ahanta
axamb;ahb;axamb
qimant;ahg;qimant
aïzi de Tiagbamrin;ahi;aizi de tiagbamrin
akha;ahk;akha
igo;ahl;igo
àhàn;ahn;ahan
ahom;aho;ahom
aïzi d’Aproumu;ahp;aizi daproumu
ashe;ahs;ashe
ahtna;aht;ahtna
arosi;aia;arosi
aïnou (Chine);aib;ainou chine
alngith;aid;alngith
amara;aie;amara
agi;aif;agi
créole anglais d’Antigua-et-Barbuda;aig;creole anglais antigua et barbuda
ai-cham;aih;aicham
néo-araméen assyrien;aii;arameen neo assyrien
lishanid noshan;aij;lishanid noshan
akyé;aik;akye
aimele;ail;aimele
aimol;aim;aimol
aïnou (Japon);ain;ainou japon
airoran;air;airoran
nataoran;ais;nataoran
arikém;ait;arikem
aari;aiw;aari
aighon;aix;aighon
ali;aiy;ali
aari-gayil;aiz;aarigayil
aja;aja;aja
ajagbe;ajg;ajagbe
ajië;aji;ajie
judéo-tunisien;ajt;judeotunisien
judéo-marocain;aju;judeomarocain
ajawa;ajw;ajawa
akan;ak;akan
mpur;akc;mpur
akawaïo;ake;akawaio
akpa;akf;akpa
aiome;aki;aiome
aka-jeru;akj;akajeru
akkadien;akk;akkadien
aklanon;akl;aklanon
aka-bo;akm;akabo
akurio;ako;akurio
siwu;akp;siwu
araki;akr;araki
akaselem;aks;akaselem
akum;aku;akum
akhvakh;akv;akhvakh
aka-kede;akx;akakede
aka-kol;aky;akakol
alabama;akz;alabama
alago;ala;alago
kawésqar;alc;kawesqar
alladian;ald;alladian
aléoute;ale;aleoute
langues algonquiennes;alg;algonquiennes langues
alawa;alh;alawa
amaimon;ali;amaimon
alak;alk;alak
allar;all;allar
amblong;alm;amblong
guègue;aln;guegue
larike-wakasihu;alo;larikewakasihu
alune;alp;alune
algonquin;alq;algonquin
alioutor;alr;alioutor
albanais tosk;als;albanais tosk
altaï du Sud;alt;altai du sud
’are’are;alu;are are
langues atlantico-congolaises;alv;atlantico congolaises langues
amol;alx;amol
alyawarr;aly;alyawarr
amharique;am;amharique
amanayé;ama;amanaye
ambo;amb;ambo
amahuaca;amc;amahuaca
yanesha;ame;yanesha
hamar;amf;hamar
amurdak;amg;amurdak
amis;ami;amis
amdang;amj;amdang
ambai;amk;ambai
war-jaintia;aml;warjaintia
ama (Papouasie-Nouvelle-Guinée);amm;ama papouasienouvelleguinee
ammonite;ammonite;ammonite
amanab;amn;amanab
amo;amo;amo
alamblak;amp;alamblak
amahai;amq;amahai
amarakaeri;amr;amarakaeri
amuzgo du Guerrero;amu;amuzgo du Guerrero
néo-araméen occidental;amw;arameen neo occidental
anmatyerre;amx;anmatyerre
ami;amy;ami
aragonais;an;aragonais
andaquí;ana;andaqui
anauyá;anauyá;anauya
andoa;anb;andoa
angas;anc;angas
ansus;and;ansus
xârâcùù;ane;xaracuu
animere;anf;animere
anglo-saxon;ang;anglosaxon
angevin;angevin;angevin
anggreso;anggreso;anggreso
nend;anh;nend
andi;ani;andi
ankwé;ank;ankwe
obolo;ann;obolo
andoque;ano;andoque
angika;anp;angika
jarawa (îles Andaman);anq;jarawa andaman
anserma;ans;anserma
antakarinya;ant;antakarinya
anyua;anu;anyua
denya;anv;denya
anang;anw;anang
agni;any;agni
angolar;aoa;angolar
abom;aob;abom
pemon;aoc;pemon
bragat;aof;bragat
angoram;aog;angoram
arma;aoh;arma
anindilyakwa;aoi;anindilyakwa
mufian;aoj;mufian
ömie;aom;omie
aore;aor;aore
taikat;aos;taikat
a’tong;aot;atong
a’ou;aou;aou
atoni;aoz;atoni
langues apaches;apa;apaches langues
sa’a;apb;saa
arabe levantin;apc;arabe levantin
arabe soudanais;apd;arabe soudanais
bukiyip;ape;bukiyip
agta de Pahanan;apf;agta de Pahanan
athpariya;aph;athpariya
apiaká;api;apiaka
jicarilla;apj;jicarilla
apache des Plaines;apk;apache des Plaines
lipan;apl;lipan
chiricahua;apm;chiricahua
apinajé;apn;apinaje
apalik;apo;apalik
apolista;apolista;apolista
apma;app;apma
pucikwar;apq;pucikwar
arop-lokep;apr;aroplokep
arop-sissano;aps;aropsissano
apatani;apt;apatani
apurinã;apu;apurina
apache de l’Ouest;apw;apache de louest
aputai;apx;aputai
apalai;apy;apalai
safeyoka;apz;safeyoka
langues alacalufanes;aqa;alacalufanes langues
artchi;aqc;artchi
ampari;aqd;ampari
langues algiques;aql;algiques langues
alta du Nord;aqn;alta du Nord
atakapa;aqp;atakapa
angaité;aqt;angaite
akuntsu;aqz;akuntsu
arabe;ar;arabe
arabe standard moderne;arb;arabe standard moderne
araméen;arc;arameen
arabana;ard;arabana
arrernte de l’Ouest;are;arrernte de louest
arhuaco;arh;arhuaco
arikara;ari;arikara
arikapú;ark;arikapu
arabela;arl;arabela
mapuche;arn;mapuche
araona;aro;araona
arapaho;arp;arapaho
arabe algérien;arq;arabe algerien
karo (Brésil);arr;karo bresil
arabe najdi;ars;arabe najdi
langues artificielles;art;artificielles langues
arawá;aru;arawa
arbore;arv;arbore
arawak;arw;arawak
aruá;arx;arua
arabe marocain;ary;arabe marocain
arabe égyptien;arz;arabe egyptien
assamais;as;assamais
asu (Tanzanie);asa;asu tanzanie
assiniboine;asb;assiniboine
asas;asd;asas
langue des signes américaine;ase;signes americaine
langue des signes australienne;asf;signes australienne
abishira;ash;abishira
buruwai;asi;buruwai
nsari;asj;nsari
ashkun;ask;ashkun
asilulu;asl;asilulu
asuriní de Xingú;asn;asurini de xingu
dano;aso;dano
langue des signes algérienne;asp;signes algerienne
ipulo;ass;ipulo
asturien;ast;asturien
asuriní du Tocantins;asu;asurini du tocantins
asoa;asv;asoa
muratayak;asx;muratayak
pele-ata;ata;peleata
zaiwa;atb;zaiwa
atsahuaca;atc;atsahuaca
manobo d’Ata;atd;manobo data
atemble;ate;atemble
langues athapascanes;ath;athapascanes langues
attié;ati;attie
atikamekw;atj;atikamekw
agta du mont Iraya;atl;agta du mont Iraya
ata;atm;ata
atong;ato;atong
atta de Pudtol;atp;atta de Pudtol
atohwaim;atq;atohwaim
waimiri-atroari;atr;waimiriatroari
atsina;ats;atsina
atta de Pamplona;att;atta de Pamplona
reel;atu;reel
altaï du Nord;atv;altai du nord
atsugewi;atw;atsugewi
arutani;atx;arutani
anejom;aty;anejom
arta;atz;arta
asumboa;aua;asumboa
huaorani;auc;huaorani
anuta;aud;anuta
kung-gobabis;aue;kunggobabis
langues arauanes;auf;arauanes langues
agouna;aug;agouna
aushi;auh;aushi
anuki;aui;anuki
awjilah;auj;awjilah
heyo;auk;heyo
aulua;aul;aulua
asu (Nigeria);aum;asu nigeria
one de Molmo;aun;one de Molmo
aruek;aur;aruek
langues australiennes;aus;australiennes langues
austral;aut;austral
auye;auu;auye
awyi;auw;awyi
aurá;aux;aura
auyana;auy;auyana
avar;av;avar
avau;avb;avau
alviri-vidari;avd;alvirividari
avikam;avi;avikam
kotava;avk;kotava
arabe bedawi;avl;arabe bedawi
avatime;avn;avatime
agavotaguerra;avo;agavotaguerra
avok;avok;avok
aushiri;avs;aushiri
au;avt;au
avokaya;avu;avokaya
avá-canoeiro;avv;avacanoeiro
awadhi;awa;awadhi
awa (papou);awb;awa papou
cicipu;awc;cicipu
langues arawakes;awd;arawakes langues
aweti;awe;aweti
anguthimri;awg;anguthimri
awbono;awh;awbono
aekyom;awi;aekyom
awabakal;awk;awabakal
arawum;awm;arawum
awngi;awn;awngi
awak;awo;awak
awera;awr;awera
aghu du Sud;aws;aghu du Sud
araweté;awt;arawete
aghu central;awu;aghu central
aghu de Jair;awv;aghu de Jair
awun;aww;awun
awara;awx;awara
aghu d’Edera;awy;aghu dedera
abipón;axb;abipon
ayerrerenge;axe;ayerrerenge
arara de Mato Grosso;axg;arara de Mato Grosso
xaragure;axx;xaragure
aymara;ay;aymara
awar;aya;awar
ayabadhu;ayd;ayabadhu
ayere;aye;ayere
leyigha;ayi;leyigha
arabe libyen;ayl;arabe libyen
arabe sanaani;ayn;arabe sanaani
ayoreo;ayo;ayoreo
ayu;ayu;ayu
mai brat;ayz;mai brat
azéri;az;azeri
azha;aza;azha
azéri du Sud;azb;azeri du sud
afchar;azb-afs;afchar
langues uto-aztèques;azc;uto azteques langues
amuzgo de San Pedro Amuzgos;azg;amuzgo de San Pedro Amuzgos
azéri du Nord;azj;azeri du nord
awing;azo;awing
nahuatl du haut Puebla;azz;nahuatl du haut Puebla
a’ou de Bigong;a’ou de Bigong;aou de bigong
a’ou de Hongfeng;a’ou de Hongfeng;aou de hongfeng
bachkir;ba;bachkir
babatana;baa;babatana
baduy;bac;baduy
langues bandas;bad;bandas langues
baré;bae;bare
nubaca;baf;nubaca
tuki;bag;tuki
créole bahamien;bah;creole bahamien
langues bamilékées;bai;bamilekees langues
baisha;baisha;baisha
baloutche;bal;baloutche
balinais;ban;balinais
bana (Chine);bana;bana chine
bangru;bangru;bangru
bara;bao;bara
baoting;baoting;baoting
bantawa;bap;bantawa
bavarois;bar;bavarois
barngala;barngala;barngala
barranbinya;barranbinya;barranbinya
bassa (Cameroun);bas;bassa cameroun
langues baltes;bat;baltes langues
babungo;bav;babungo
bambili-bambui;baw;bambilibambui
bamoun;bax;bamoun
batuley;bay;batuley
bariba;bba;bariba
barai;bbb;barai
batak toba;bbc;batak toba
bau;bbd;bau
baibai;bbf;baibai
pakan;bbh;pakan
barombi;bbi;barombi
ghomala’;bbj;ghomala
bats;bbl;bats
konabéré;bbo;konabere
banda central de l’Ouest;bbp;banda central de louest
girawa;bbr;girawa
kulung (Nigeria);bbu;kulung nigeria
karnai;bbv;karnai
baba;bbw;baba
bai central;bca;bai central
baïnouk-samik;bcb;bainouksamik
baloutchi du Sud;bcc;baloutchi du Sud
babar du Nord;bcd;babar du Nord
mengambo;bce;mengambo
bamu;bcf;bamu
baga binari;bcg;baga binari
bariai;bch;bariai
baoulé;bci;baoule
bardi;bcj;bardi
bunuba;bck;bunuba
bikol central;bcl;bikol central
banoni;bcm;banoni
bali;bcn;bali
kaluli;bco;kaluli
bali (République démocratique du Congo);bcp;bali congo
gimira;bcq;gimira
babine-witsuwit’en;bcr;babinewitsuwiten
kohumono;bcs;kohumono
bendi;bct;bendi
awad bing;bcu;awad bing
shoo-minda-nye;bcv;shoomindanye
bana (Cameroun);bcw;bana cameroun
bacama;bcy;bacama
baïnouk-gunyaamolo;bcz;bainoukgunyaamolo
bayot;bda;bayot
basap;bdb;basap
emberá-baudó;bdc;emberabaudo
bunama;bdd;bunama
bade;bde;bade
biage;bdf;biage
bonggi;bdg;bonggi
baka (Soudan du Sud);bdh;baka soudan du sud
bai (Soudan du Sud);bdj;bai soudan du sud
boudoukh;bdk;boudoukh
bajau indonésien;bdl;bajau indonesien
boudouma;bdm;boudouma
baldamu;bdn;baldamu
morom;bdo;morom
bende;bdp;bende
bahnar;bdq;bahnar
bajau de la côte occidentale;bdr;bajau de la cote occidentale
burunge;bds;burunge
gbaya bokoto;bdt;gbaya bokoto
baham;bdw;baham
bandjalang;bdy;bandjalang
biélorusse;be;bielorusse
biélorusse (tarashkevitsa);be-tarask;bielorusse tarashkevitsa
dunneza;bea;dunneza
iceve-maci;bec;icevemaci
bedoanas;bed;bedoanas
byangsi;bee;byangsi
belait;beg;belait
biali;beh;biali
bekati’;bei;bekati
bedja;bej;bedja
bebeli;bek;bebeli
bemba;bem;bemba
bengni;bengni;bengni
beami;beo;beami
besoa;bep;besoa
beembe;beq;beembe
langues berbères;ber;berberes langues
berrichon;berrichon;berrichon
besme;bes;besme
bété de Guiberoua;bet;bete de guiberoua
betoi;betoi;betoi
blagar;beu;blagar
betawi;bew;betawi
modo;bex;modo
beli (Papouasie-Nouvelle-Guinée);bey;beli papouasienouvelleguinee
bena;bez;bena
bari (Soudan du Sud);bfa;bari soudan du sud
pauri bareli;bfb;pauri bareli
bai du Nord;bfc;bai du Nord
bafut;bfd;bafut
bofi;bff;bofi
busang;bfg;busang
langue des signes britannique;bfi;signes britannique
bafanji;bfj;bafanji
mmem;bfm;mmem
bunaq;bfn;bunaq
bagada;bfq;bagada
bazigar;bfr;bazigar
bai du Sud;bfs;bai du Sud
balti;bft;balti
remo;bfw;remo
bulgare;bg;bulgare
bobongko;bgb;bobongko
bangando;bgf;bangando
bugun;bgg;bugun
bangolan;bgj;bangolan
khabit;bgk;khabit
bawm;bgr;bawm
mbongno;bgu;mbongno
warkay-bipim;bgv;warkaybipim
banggai;bgz;banggai
langues biharies;bh;biharies langues
bharia;bha;bharia
bhili;bhb;bhili
biga;bhc;biga
odiai;bhf;odiai
binandere;bhg;binandere
bhilali;bhi;bhilali
bahing;bhj;bahing
bimin;bhl;bimin
bathari;bhm;bathari
néo-araméen de Bohtan;bhn;arameen neo de bohtan
bhojpouri;bho;bhojpouri
tukang besi du Sud;bhq;tukang besi du Sud
buwal;bhs;buwal
bahau;bhv;bahau
biak;bhw;biak
bada (Indonésie);bhz;bada indonesie
bichlamar;bi;bichlamar
badimaya;bia;badimaya
bissa;bib;bissa
bikaru;bic;bikaru
bidiyo;bid;bidiyo
bepour;bie;bepour
biafada;bif;biafada
biangai;big;biangai
vaghat-ya-bijim-legeri;bij;vaghatyabijimlegeri
bikol;bik;bikol
bile;bil;bile
bimoba;bim;bimoba
édo;bin;edo
nai;bio;nai
bila;bip;bila
bisorio;bir;bisorio
bisaya de Limbang;bisaya de Limbang;bisaya de Limbang
baloi;biz;baloi
ebudza;bja;ebudza
banggarla;bjb;banggarla
bariji;bjc;bariji
bijogo;bjg;bijogo
bahinemo;bjh;bahinemo
burji;bji;burji
kanauji;bjj;kanauji
bajelani;bjm;bajelani
banjar;bjn;banjar
fanamaket;bjp;fanamaket
binumarien;bjr;binumarien
balante-ganja;bjt;balanteganja
bedjond;bjv;bedjond
baruga;bjz;baruga
kyak;bka;kyak
baka (Cameroun-Gabon);bkc;baka cameroun gabon
binukid;bkd;binukid
bakoko;bkh;bakoko
baki;bki;baki
pande;bkj;pande
berik;bkl;berik
kom (Cameroun);bkm;kom cameroun
beketan;bkn;beketan
bakairí;bkq;bakairi
bakumpai;bkr;bakumpai
sorsoganon du Nord;bks;sorsoganon du Nord
boloki;bkt;boloki
bouhid;bku;bouhid
bokyi;bky;bokyi
bungku;bkz;bungku
pied-noir;bla;piednoir
bilua;blb;bilua
nuxalk;blc;nuxalk
bolango;bld;bolango
balante-kentohe;ble;balantekentohe
buol;blf;buol
bolia;bli;bolia
bolongan;blj;bolongan
biloxi;bll;biloxi
beli (Soudan du Sud);blm;beli soudan du sud
bikol du Sud de Catanduanes;bln;bikol du Sud de Catanduanes
anii;blo;anii
baluan-pam;blq;baluanpam
blang;blr;blang
balaesang;bls;balaesang
tai dam;blt;tai dam
kibala;blv;kibala
balangao;blw;balangao
notre;bly;notre
balantak;blz;balantak
bambara;bm;bambara
lame;bma;lame
biem;bmc;biem
bamwe;bmg;bamwe
kein;bmh;kein
bagirmi;bmi;bagirmi
bote-majhi;bmj;botemajhi
ghayavi;bmk;ghayavi
bina (Papouasie-Nouvelle-Guinée);bmn;bina papouasienouvelleguinee
muinane;bmr;muinane
burum-mindik;bmu;burummindik
baimak;bmx;baimak
bengali;bn;bengali
murut bookan;bnb;murut bookan
bontok;bnc;bontok
bintauna;bne;bintauna
benga;bng;benga
bobangi;bni;bobangi
bierebo;bnk;bierebo
batanga;bnm;batanga
bunun;bnn;bunun
bola (Papouasie-Nouvelle-Guinée);bnp;bola papouasienouvelleguinee
bantik;bnq;bantik
butmas-tur;bnr;butmastur
langues bantoues;bnt;bantoues langues
bonerif;bnv;bonerif
bintulu;bny;bintulu
beezen;bnz;beezen
tibétain;bo;tibetain
bora;boa;bora
aweer;bob;aweer
mundabli;boe;mundabli
bolon;bof;bolon
langue des signes malienne;bog;langue des signes malienne
boma;boh;boma
barbareño;boi;barbareno
anjam;boj;anjam
bonjo;bok;bonjo
bokar;bokar;bokar
bole;bol;bole
birom;bom;birom
bine;bon;bine
bondska;bondska;bondska
bozo de Tiemacèwè;boo;bozo de tiemacewe
bogaya;boq;bogaya
bororo;bor;bororo
bongo;bot;bongo
botnien;botnien;botnien
bondei;bou;bondei
bouhin;bouhin;bouhin
bourbonnais;bourbonnais;bourbonnais
bourguignon;bourguignon;bourguignon
tuwuli;bov;tuwuli
rema;bow;rema
buamu;box;buamu
bodo (République centrafricaine);boy;bodo centrafrique
bozo-tigemaxoo;boz;bozotigemaxoo
daakaka;bpa;daakaka
bonggo;bpg;bonggo
botlikh;bph;botlikh
bagupi;bpi;bagupi
binji;bpj;binji
